"sr-only","_stackIconOrSpinner_70ihm_58 src","_projectRowCell_70ihm_20 href","_twoLineEllipsis_70ihm_95","_twoLineEllipsis_70ihm_95 2","_projectRowCell_70ihm_20 2","_projectRowCell_70ihm_20 3","_projectRowCell_70ihm_20 4","sr-only 2"
"Select Hypergraph B2B Integration System Simulation (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-mkjsrnwh","Hypergraph B2B Integration System Simulation (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","7 months ago","Open actions for Hypergraph B2B Integration System Simulation (forked)"
"Select Chat Log Analysis System Implementation (v2 (forked)","https://c.staticblitz.com/assets/frameworks/express-dark-ff32f0f0868e04958020499cadbee86eca4ac18159f2bc1ab8e4b8d68d66cdfe.svg","https://stackblitz.com/edit/sb1-wnsvvwnh","Chat Log Analysis System Implementation (v2 (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","7 months ago","Open actions for Chat Log Analysis System Implementation (v2 (forked)"
"Select Chat Log Analysis System Implementation (v2","https://c.staticblitz.com/assets/frameworks/express-dark-ff32f0f0868e04958020499cadbee86eca4ac18159f2bc1ab8e4b8d68d66cdfe.svg","https://stackblitz.com/edit/sb1-q66dcuwq","Chat Log Analysis System Implementation (v2","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","1","7 months ago","Open actions for Chat Log Analysis System Implementation (v2"
"Select Chat Log Analysis System Implementation (v1","https://c.staticblitz.com/assets/frameworks/express-dark-ff32f0f0868e04958020499cadbee86eca4ac18159f2bc1ab8e4b8d68d66cdfe.svg","https://stackblitz.com/edit/sb1-pkwuktqg","Chat Log Analysis System Implementation (v1","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","3","7 months ago","Open actions for Chat Log Analysis System Implementation (v1"
"Select Chat Log Analysis System Implementation (v1 (forked)","","https://stackblitz.com/edit/sb1-zvddw6fq","Chat Log Analysis System Implementation (v1 (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","7 months ago","Open actions for Chat Log Analysis System Implementation (v1 (forked)"
"Select ModelX AGI Framework v1.4 Technical Specification 1","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-dux4caal","ModelX AGI Framework v1.4 Technical Specification 1","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","1","7 months ago","Open actions for ModelX AGI Framework v1.4 Technical Specification 1"
"Select ModelX AGI Framework v1.4 Technical Specification (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-akwusetu","ModelX AGI Framework v1.4 Technical Specification (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","1","7 months ago","Open actions for ModelX AGI Framework v1.4 Technical Specification (forked)"
"Select Emacs Lisp Chatbot Implementation (multi)","https://c.staticblitz.com/assets/frameworks/python-54acd0fadf3c6501babc391f81d001a52e174f09210179bd717db4855bf710dd.svg","https://stackblitz.com/edit/sb1-gmi97bf4","Emacs Lisp Chatbot Implementation (multi)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","2","7 months ago","Open actions for Emacs Lisp Chatbot Implementation (multi)"
"Select emacs-agichat-ocog (skintwind) (v3d5 (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-idu2nxqg-weazu7oq","emacs-agichat-ocog (skintwind) (v3d5 (forked)","AI Chat in Emacs, including OpenAI and Bing Chat","1","0","7 months ago","Open actions for emacs-agichat-ocog (skintwind) (v3d5 (forked)"
"Select HyperCog (v8x999","https://c.staticblitz.com/assets/frameworks/typescript-d0ac842a3beaf6eb9ac86fb1146a413e575362e16b534dfaa7ad663417a4238d.svg","https://stackblitz.com/edit/hypercog-v7-xgg188tt","HyperCog (v8x999","The default SvelteKit template, generated with create-svelte","1","0","7 months ago","Open actions for HyperCog (v8x999"
"Select OC - Emacs AGI - v134 (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-edep5bup-bahbuoap","OC - Emacs AGI - v134 (forked)","AI Chat in Emacs, including OpenAI and Bing Chat","1","1","8 months ago","Open actions for OC - Emacs AGI - v134 (forked)"
"Select emacs-agichat-ocog (skintwind) (v3d688 (kobb","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-idu2nxqg-yrheci9h","emacs-agichat-ocog (skintwind) (v3d688 (kobb","AI Chat in Emacs, including OpenAI and Bing Chat","1","1","8 months ago","Open actions for emacs-agichat-ocog (skintwind) (v3d688 (kobb"
"Select emacs-agichat-ocog (skintwind) (v3d688","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-idu2nxqg-yuppfrsm","emacs-agichat-ocog (skintwind) (v3d688","AI Chat in Emacs, including OpenAI and Bing Chat","1","1","8 months ago","Open actions for emacs-agichat-ocog (skintwind) (v3d688"
"Select Frdel - Agent Zero v0 (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-8lidbbcy-hfps4mnr","Frdel - Agent Zero v0 (forked)","Agent Zero AI framework","22","0","8 months ago","Open actions for Frdel - Agent Zero v0 (forked)"
"Select Chat Log Analysis System Implementation (v1 (forked)","","https://stackblitz.com/edit/sb1-lxaxuxwm","Chat Log Analysis System Implementation (v1 (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","8 months ago","Open actions for Chat Log Analysis System Implementation (v1 (forked)"
"Select emacs-agichat-ocog (skintwind) (v3d6","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-idu2nxqg-yawad5ad","emacs-agichat-ocog (skintwind) (v3d6","AI Chat in Emacs, including OpenAI and Bing Chat","1","1","8 months ago","Open actions for emacs-agichat-ocog (skintwind) (v3d6"
"Select emacs-agichat-ocog (skintwind) (v3d)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-idu2nxqg-8tacav6y","emacs-agichat-ocog (skintwind) (v3d)","AI Chat in Emacs, including OpenAI and Bing Chat","1","1","8 months ago","Open actions for emacs-agichat-ocog (skintwind) (v3d)"
"Select Cloudflare - Hyper-Platform demo v1 (forked)","https://c.staticblitz.com/assets/frameworks/remix-a7e8aafe42cee590df4d89239ae4d8975998dfafd3db606802466ebb42da1676.svg","https://stackblitz.com/edit/github-znhqearu-qynjjdyx","Cloudflare - Hyper-Platform demo v1 (forked)","A great place for platforms to get started on Cloudflare Workers!","2","1","8 months ago","Open actions for Cloudflare - Hyper-Platform demo v1 (forked)"
"Select HyperCog (v8x99)","https://c.staticblitz.com/assets/frameworks/typescript-d0ac842a3beaf6eb9ac86fb1146a413e575362e16b534dfaa7ad663417a4238d.svg","https://stackblitz.com/edit/hypercog-v7-qfy8yid9","HyperCog (v8x99)","The default SvelteKit template, generated with create-svelte","1","1","8 months ago","Open actions for HyperCog (v8x99)"
"Select Echocog - Blackboxai 1741641849887","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-42mkwaeh","Echocog - Blackboxai 1741641849887","Built by https://www.blackbox.ai","1","0","9 months ago","Open actions for Echocog - Blackboxai 1741641849887"
"Select Cloudflare - Hyper-Platform demo v2d)","https://c.staticblitz.com/assets/frameworks/remix-a7e8aafe42cee590df4d89239ae4d8975998dfafd3db606802466ebb42da1676.svg","https://stackblitz.com/edit/github-znhqearu-telwgs1e","Cloudflare - Hyper-Platform demo v2d)","A great place for platforms to get started on Cloudflare Workers!","4","0","9 months ago","Open actions for Cloudflare - Hyper-Platform demo v2d)"
"Select Cloudflare - Hyper-Platform demo v1 (forked)","https://c.staticblitz.com/assets/frameworks/remix-a7e8aafe42cee590df4d89239ae4d8975998dfafd3db606802466ebb42da1676.svg","https://stackblitz.com/edit/github-znhqearu-bfxc7hus","Cloudflare - Hyper-Platform demo v1 (forked)","A great place for platforms to get started on Cloudflare Workers!","5","1","9 months ago","Open actions for Cloudflare - Hyper-Platform demo v1 (forked)"
"Select Shopify Enterprise Admin Dashboard (v5) (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-rhfqm2y6","Shopify Enterprise Admin Dashboard (v5) (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","9 months ago","Open actions for Shopify Enterprise Admin Dashboard (v5) (forked)"
"Select Shopify Enterprise Admin Dashboard (v4)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-gvidzndj","Shopify Enterprise Admin Dashboard (v4)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","2","9 months ago","Open actions for Shopify Enterprise Admin Dashboard (v4)"
"Select cog-zero-web-mem-p-sys-v3","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-eqkkzwev-bdr3jw96","cog-zero-web-mem-p-sys-v3","Agent Zero AI framework","2","0","9 months ago","Open actions for cog-zero-web-mem-p-sys-v3"
"Select cog-zero-web-mem-p-sys-v2","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-eqkkzwev-qp9wnwbc","cog-zero-web-mem-p-sys-v2","Agent Zero AI framework","3","1","9 months ago","Open actions for cog-zero-web-mem-p-sys-v2"
"Select cog-zero-web-mem-p-sys-v1","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/cog-zero-web-mem-p-sys-v1","cog-zero-web-mem-p-sys-v1","Cog Zero AI framework","22","0","9 months ago","Open actions for cog-zero-web-mem-p-sys-v1"
"Select VitePress ai v4","https://c.staticblitz.com/assets/frameworks/vitepress-b960b345a4714642ff3dfd04737a2f7741d07063a21980ce8156aaeaf5116cb0.svg","https://stackblitz.com/edit/bolt-vitepress-gmh8gzhj","VitePress ai v4","A docs site using VitePress - a Vite & Vue powered static site generator","5","0","9 months ago","Open actions for VitePress ai v4"
"Select emacs-agichat-ocog (skintwind) (v2d)","","https://stackblitz.com/edit/github-idu2nxqg-d2owpsvk","emacs-agichat-ocog (skintwind) (v2d)","AI Chat in Emacs, including OpenAI and Bing Chat","1","1","9 months ago","Open actions for emacs-agichat-ocog (skintwind) (v2d)"
"Select emacs-agichat-ocog (skintwind)","","https://stackblitz.com/edit/github-idu2nxqg-i8kkhwzu","emacs-agichat-ocog (skintwind)","AI Chat in Emacs, including OpenAI and Bing Chat","1","1","9 months ago","Open actions for emacs-agichat-ocog (skintwind)"
"Select emacs-agichat-ocog (v1)","","https://stackblitz.com/edit/github-idu2nxqg-qxothygq","emacs-agichat-ocog (v1)","AI Chat in Emacs, including OpenAI and Bing Chat","1","1","9 months ago","Open actions for emacs-agichat-ocog (v1)"
"Select Shopify Enterprise Admin Dashboard (v4) (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-ru4iezzn","Shopify Enterprise Admin Dashboard (v4) (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","9 months ago","Open actions for Shopify Enterprise Admin Dashboard (v4) (forked)"
"Select Stackblitz-labs - Bolt.diy","https://c.staticblitz.com/assets/frameworks/webcontainer-api-dark-728cf1506c01a3f6108d56cb9eb0364861327ee821fec51ddc7370d70637d19b.svg","https://stackblitz.com/edit/github-ywkieztb","Stackblitz-labs - Bolt.diy","Prompt, run, edit, and deploy full-stack web applications using any LLM you want!","41","1","9 months ago","Open actions for Stackblitz-labs - Bolt.diy"
"Select Emacs Lisp Chatbot Inc 1234","https://c.staticblitz.com/assets/frameworks/express-dark-ff32f0f0868e04958020499cadbee86eca4ac18159f2bc1ab8e4b8d68d66cdfe.svg","https://stackblitz.com/edit/sb1-xeuujn1m","Emacs Lisp Chatbot Inc 1234","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","9 months ago","Open actions for Emacs Lisp Chatbot Inc 1234"
"Select Emacs Lisp Chatbot Inc 123 (forked)","https://c.staticblitz.com/assets/frameworks/python-54acd0fadf3c6501babc391f81d001a52e174f09210179bd717db4855bf710dd.svg","https://stackblitz.com/edit/sb1-rxb5twbg","Emacs Lisp Chatbot Inc 123 (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","1","9 months ago","Open actions for Emacs Lisp Chatbot Inc 123 (forked)"
"Select Emacs Lisp Chatbot Inc 123","https://c.staticblitz.com/assets/frameworks/python-54acd0fadf3c6501babc391f81d001a52e174f09210179bd717db4855bf710dd.svg","https://stackblitz.com/edit/sb1-jhm8qd8h","Emacs Lisp Chatbot Inc 123","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","1","9 months ago","Open actions for Emacs Lisp Chatbot Inc 123"
"Select Shopify Enterprise Admin Dashboard (v3)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-xzdbfagh","Shopify Enterprise Admin Dashboard (v3)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","1","9 months ago","Open actions for Shopify Enterprise Admin Dashboard (v3)"
"Select Frdel - Agent Zero v0","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-8lidbbcy","Frdel - Agent Zero v0","Agent Zero AI framework","1","1","9 months ago","Open actions for Frdel - Agent Zero v0"
"Select Frdel - Agent Zero","https://c.staticblitz.com/assets/frameworks/python-54acd0fadf3c6501babc391f81d001a52e174f09210179bd717db4855bf710dd.svg","https://stackblitz.com/edit/github-7wq9caxm","Frdel - Agent Zero","Agent Zero AI framework","0","0","9 months ago","Open actions for Frdel - Agent Zero"
"Select Thelime1 - Aichat Cli (v2)","https://c.staticblitz.com/assets/frameworks/webcontainer-api-dark-728cf1506c01a3f6108d56cb9eb0364861327ee821fec51ddc7370d70637d19b.svg","https://stackblitz.com/edit/github-vhjxnsjk-tkn9xcmm","Thelime1 - Aichat Cli (v2)","a command-line interface chatbot. It allows you to have interactive conversations with different bots, including GPT4 FOR FREE","1","1","9 months ago","Open actions for Thelime1 - Aichat Cli (v2)"
"Select Thelime1 - Aichat Cli","https://c.staticblitz.com/assets/frameworks/python-54acd0fadf3c6501babc391f81d001a52e174f09210179bd717db4855bf710dd.svg","https://stackblitz.com/edit/github-vhjxnsjk","Thelime1 - Aichat Cli","a command-line interface chatbot. It allows you to have interactive conversations with different bots, including GPT4 FOR FREE","1","1","9 months ago","Open actions for Thelime1 - Aichat Cli"
"Select Nitro Starter (forked)","https://c.staticblitz.com/assets/frameworks/nitro-1b49fb3192f0e80ba922bf0da68677ac8559c99a88158035965c9f677613d88f.svg","https://stackblitz.com/edit/unjs-nitro-starter-dy8p2dvf","Nitro Starter (forked)","Nitro starter template","1","0","9 months ago","Open actions for Nitro Starter (forked)"
"Select Nitro Starter","https://c.staticblitz.com/assets/frameworks/nitro-1b49fb3192f0e80ba922bf0da68677ac8559c99a88158035965c9f677613d88f.svg","https://stackblitz.com/edit/unjs-nitro-starter-xjquuhi2","Nitro Starter","Nitro starter template","1","1","9 months ago","Open actions for Nitro Starter"
"Select Obsidplug v0","","https://stackblitz.com/edit/github-b8v3g5as","Obsidplug v0","","0","0","9 months ago","Open actions for Obsidplug v0"
"Select Aonirabbly.Wasmification (v1)","","https://stackblitz.com/edit/github-2wyhor6h-7weivjdb","Aonirabbly.Wasmification (v1)","","1","0","9 months ago","Open actions for Aonirabbly.Wasmification (v1)"
"Select Aonirabbly.Wasmification (v0)","","https://stackblitz.com/edit/github-2wyhor6h","Aonirabbly.Wasmification (v0)","","1","1","9 months ago","Open actions for Aonirabbly.Wasmification (v0)"
"Select Bolt System Jax (v1)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-hnpdmyyp","Bolt System Jax (v1)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","10 months ago","Open actions for Bolt System Jax (v1)"
"Select ChatGPT (v2) (assist)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-ae4hzvck-aei3f7qc","ChatGPT (v2) (assist)","🔮 ChatGPT Desktop Application (Mac, Windows and Linux)","1","0","10 months ago","Open actions for ChatGPT (v2) (assist)"
"Select Memory Server with Keyv and Express (v0-2)","","https://stackblitz.com/edit/cgpt-mem-keyv-v0-2","Memory Server with Keyv and Express (v0-2)","Memory Server with Keyv and Express (v0-2) Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","25","0","10 months ago","Open actions for Memory Server with Keyv and Express (v0-2)"
"Select Stackblitz - Webcontainer Api Starter (forked)","https://c.staticblitz.com/assets/frameworks/webcontainer-api-dark-728cf1506c01a3f6108d56cb9eb0364861327ee821fec51ddc7370d70637d19b.svg","https://stackblitz.com/edit/stackblitz-webcontainer-api-starter-l2ftqhcj","Stackblitz - Webcontainer Api Starter (forked)","Run Webcontainer API Starter created by Stackblitz on StackBlitz","1","0","10 months ago","Open actions for Stackblitz - Webcontainer Api Starter (forked)"
"Select jq starter (forked)","","https://stackblitz.com/edit/jq-starter-gyzbspf2","jq starter (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","10 months ago","Open actions for jq starter (forked)"
"Select Gutenberg Block Development in StackBlitz (@wordpress/scripts) (forked)","https://c.staticblitz.com/assets/frameworks/wordpress-e1bb43f029a7a69e8fa81b418f1a87e9ff57c4ee00abd0db7805f113550839c9.svg","https://stackblitz.com/edit/node-pckaahz5","Gutenberg Block Development in StackBlitz (@wordpress/scripts) (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","10 months ago","Open actions for Gutenberg Block Development in StackBlitz (@wordpress/scripts) (forked)"
"Select Python Starter (forked)","https://c.staticblitz.com/assets/frameworks/python-54acd0fadf3c6501babc391f81d001a52e174f09210179bd717db4855bf710dd.svg","https://stackblitz.com/edit/secret-python-ujdtudwt","Python Starter (forked)","Starter project Python – running in a browser with WebContainers.
wasi #wasm","1","0","10 months ago","Open actions for Python Starter (forked)"
"Select Nitro Starter","https://c.staticblitz.com/assets/frameworks/nitro-1b49fb3192f0e80ba922bf0da68677ac8559c99a88158035965c9f677613d88f.svg","https://stackblitz.com/edit/unjs-nitro-starter-vwyu4eep","Nitro Starter","Nitro starter template","1","0","10 months ago","Open actions for Nitro Starter"
"Select H3 Starter","https://c.staticblitz.com/assets/frameworks/unjs-04f79c55abec44166056a17495504756344471fa4cec6974760053b89c4f44f6.svg","https://stackblitz.com/edit/unjs-h3-f5mw3wjn","H3 Starter","⚡️ Minimal H(TTP) framework built for high performance and portability","1","0","10 months ago","Open actions for H3 Starter"
"Select JSON GraphQL Starter","https://c.staticblitz.com/assets/frameworks/graphql-4fb0265e957ecaf8629c8fa5d1273c1a2832084ee2167636db9222f7370c4781.svg","https://stackblitz.com/edit/stackblitz-starters-bi1swsnr","JSON GraphQL Starter","","1","0","10 months ago","Open actions for JSON GraphQL Starter"
"Select json-server Starter","","https://stackblitz.com/edit/stackblitz-starters-kykdp5kt","json-server Starter","","1","0","10 months ago","Open actions for json-server Starter"
"Select GraphQL Starter","https://c.staticblitz.com/assets/frameworks/graphql-4fb0265e957ecaf8629c8fa5d1273c1a2832084ee2167636db9222f7370c4781.svg","https://stackblitz.com/edit/stackblitz-starters-coiqqzye","GraphQL Starter","","1","0","10 months ago","Open actions for GraphQL Starter"
"Select Feathers Starter","https://c.staticblitz.com/assets/frameworks/feathers-9c085fbf24badf71beb8a7b03921e242534c48022b6a2310511261d09554a1b4.svg","https://stackblitz.com/edit/feathersjs-playground-1rma3fkp","Feathers Starter","Feathers 🕊️ starter demo sandbox","1","0","10 months ago","Open actions for Feathers Starter"
"Select Egg.js Starter","https://c.staticblitz.com/assets/frameworks/eggjs-dark-d7a9b74758bb16fc886cf08b96759af0dd882c57ae1a383850079036e2061568.svg","https://stackblitz.com/edit/stackblitz-starters-gz1xxs7d","Egg.js Starter","","1","0","10 months ago","Open actions for Egg.js Starter"
"Select Nestjs - Typescript Starter (forked)","https://c.staticblitz.com/assets/frameworks/nestjs-034650139c93a6b67de3d097bd73b27dc9fb40d32206b973ae0d1efec2a1ffe4.svg","https://stackblitz.com/edit/nestjs-typescript-starter-f8lpfbld","Nestjs - Typescript Starter (forked)","Nest framework TypeScript starter :coffee:","1","0","10 months ago","Open actions for Nestjs - Typescript Starter (forked)"
"Select Koa Starter","https://c.staticblitz.com/assets/frameworks/koa-dark-e9faeebba5aed044ba56154765491945d2a1a30b9a53bb2e48e9e1a992fb54f2.svg","https://stackblitz.com/edit/stackblitz-starters-3td7tkam","Koa Starter","","1","0","10 months ago","Open actions for Koa Starter"
"Select Express Starter","https://c.staticblitz.com/assets/frameworks/express-dark-ff32f0f0868e04958020499cadbee86eca4ac18159f2bc1ab8e4b8d68d66cdfe.svg","https://stackblitz.com/edit/stackblitz-starters-6bk2qldz","Express Starter","","1","0","10 months ago","Open actions for Express Starter"
"Select H3 Starter","https://c.staticblitz.com/assets/frameworks/unjs-04f79c55abec44166056a17495504756344471fa4cec6974760053b89c4f44f6.svg","https://stackblitz.com/edit/unjs-h3-tthma4uf","H3 Starter","⚡️ Minimal H(TTP) framework built for high performance and portability","1","0","10 months ago","Open actions for H3 Starter"
"Select AtomSpace Visualizer Implementation (forked)","https://c.staticblitz.com/assets/frameworks/angular-11db4343aefefa246a769fc13deb8d674a6bd3f5c46d6922000e33d04c25780e.svg","https://stackblitz.com/edit/sb1-67ixwn","AtomSpace Visualizer Implementation (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","10 months ago","Open actions for AtomSpace Visualizer Implementation (forked)"
"Select AI Playground with Astro CF (v1)","https://c.staticblitz.com/assets/frameworks/astro-dark-abb84b9d6894aa953ba38e052fc46649c4f102432d2cbcc34b81ab2b9f25e798.svg","https://stackblitz.com/edit/sb1-aco6rdwo","AI Playground with Astro CF (v1)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","1","10 months ago","Open actions for AI Playground with Astro CF (v1)"
"Select AI Playground with Astro RPy (v1)","https://c.staticblitz.com/assets/frameworks/astro-dark-abb84b9d6894aa953ba38e052fc46649c4f102432d2cbcc34b81ab2b9f25e798.svg","https://stackblitz.com/edit/sb1-m7sqk73b","AI Playground with Astro RPy (v1)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","10 months ago","Open actions for AI Playground with Astro RPy (v1)"
"Select Vitejs - Vite (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/vitejs-vite-n4pyeggf","Vitejs - Vite (forked)","Next generation frontend tooling. It's fast!","1","0","10 months ago","Open actions for Vitejs - Vite (forked)"
"Select React (forked)","","https://stackblitz.com/edit/react-pjqmmdbh","React (forked)","A create-react-app project based on react and react-dom.","1","0","10 months ago","Open actions for React (forked)"
"Select Agent-Arena-Relation Pattern (v1)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-zby8o4yt","Agent-Arena-Relation Pattern (v1)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","1","11 months ago","Open actions for Agent-Arena-Relation Pattern (v1)"
"Select Drzo - Mem0","https://c.staticblitz.com/assets/frameworks/python-54acd0fadf3c6501babc391f81d001a52e174f09210179bd717db4855bf710dd.svg","https://stackblitz.com/edit/github-g42o5dkw","Drzo - Mem0","The Memory layer for your AI apps","1","1","11 months ago","Open actions for Drzo - Mem0"
"Select daisyUI: React + Vite (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/daisyui-react-vite-p2a6pzwz","daisyUI: React + Vite (forked)","","1","1","11 months ago","Open actions for daisyUI: React + Vite (forked)"
"Select Noi (v1)","https://c.staticblitz.com/assets/frameworks/typescript-d0ac842a3beaf6eb9ac86fb1146a413e575362e16b534dfaa7ad663417a4238d.svg","https://stackblitz.com/edit/github-dfocksts-hvxe788v","Noi (v1)","🚀 Power Your World with AI - Explore, Extend, Empower.","1","0","11 months ago","Open actions for Noi (v1)"
"Select Mui - Workshop Joy Datagrid (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/github-unvnri-yy8zp7","Mui - Workshop Joy Datagrid (forked)","Run Workshop Joy Datagrid created by Mui on StackBlitz","1","0","11 months ago","Open actions for Mui - Workshop Joy Datagrid (forked)"
"Select Setting up Tau Prolog with a web interface (forked)","https://c.staticblitz.com/assets/frameworks/react-5ddec60b5f793953bfa06590ab5e9ccaf3bbcc0301aaec458b5d8c86a5c7341f.svg","https://stackblitz.com/edit/sb1-vcms9q","Setting up Tau Prolog with a web interface (forked)","Starter project for Node.js, a JavaScript runtime built on Chrome's V8 JavaScript engine.","1","0","11 months ago","Open actions for Setting up Tau Prolog with a web interface (forked)"
